filepath;artist;title;album;duration;status;yt_video_id;yt_url;yt_score;error_message
\\DESKTOP-U8AN9SJ\Musique\Reggae\Jimmy Cliff\The Best Of\Jimmy Cliff 20 - Give A Little, Take A Little.mp3;Jimmy Cliff;Give A Little, Take A Little;The Best Of;145.16244897959183;low_confidence;Seh2LmUKVsE;https://music.youtube.com/watch?v=Seh2LmUKVsE;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Reggae\Mr Vegas\2004 - mr vegas pull up\16-pull_up_the_culo_remix_feat._pitbull_and_lil_jon-atm.mp3;Mr Vegas;Pull Up (the Culo Remix Feat.;Pull Up;269.24408163265304;low_confidence;Tn5HZ0Gq6VU;https://music.youtube.com/watch?v=Tn5HZ0Gq6VU;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Shaggy\2007 - Shaggy - Intoxicaton\04-shaggy-those_days_featuring_nasha-jah.mp3;Shaggy;Those Days Featuring Nasha;Intoxicaton-Retail CD;202.6057142857143;low_confidence;ysRKPGgBR1o;https://music.youtube.com/watch?v=ysRKPGgBR1o;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Shaggy\2007 - Shaggy - Intoxicaton\06-shaggy-woman_scorn-jah.mp3;Shaggy;Woman Scorn;Intoxicaton-Retail CD;192.3657142857143;low_confidence;xoH_2omQLpY;https://music.youtube.com/watch?v=xoH_2omQLpY;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Shaggy\Best Of Shaggy\Shaggy - Woman Scorn (feat. Nasha) .mp3;Shaggy;Woman Scorn;Best Of Shaggy;194.8547746001062;low_confidence;xoH_2omQLpY;https://music.youtube.com/watch?v=xoH_2omQLpY;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Sizzla\Pure love (2003)\16. Dont Leave Ft Lady Saw.mp3;Sizzla;Dont Leave Ft Lady Saw;Pure love;211.38285714285715;low_confidence;DF01ZO-SDCU;https://music.youtube.com/watch?v=DF01ZO-SDCU;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Soja\Peace In A Time Of War\SOJA-Did_You_Ever-Thellis.mp3;Soja;Did_You_Ever;Peace In A Time Of War;240.74448979591835;low_confidence;U-3QOQ5bF58;https://music.youtube.com/watch?v=U-3QOQ5bF58;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Terry ganzie\Terry Ganzie- Heavy Like Lead\Terry Ganzie - 05 - King Of Kings.mp3;Terry Ganzie;Terry Ganzie - 11 - Mek Mi Talk;Heavy Like Lead;230.6706655855257;low_confidence;3FrYLxsY3tU;https://music.youtube.com/watch?v=3FrYLxsY3tU;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Terry ganzie\Terry Ganzie- Heavy Like Lead\Terry Ganzie - 11 - Mek Mi Talk.mp3;Terry Ganzie;Terry Ganzie - 11 - Mek Mi Talk;Heavy Like Lead;231.68986625765672;low_confidence;3FrYLxsY3tU;https://music.youtube.com/watch?v=3FrYLxsY3tU;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\TOK\2001 - T.O.K. - My Crew My Dawgs\14 - TOK - On The Radio.mp3;TOK;On The Radio;My Crew, My Dawgs;192.77552270525362;low_confidence;633SNRoY2X4;https://music.youtube.com/watch?v=633SNRoY2X4;70;
\\DESKTOP-U8AN9SJ\Musique\Rock\Beatles\Abbey Road\07 Here Comes The Sun.m4a;Beatles;Here Comes The Sun;Abbey Road;185.62031746031747;low_confidence;xUNqsfFUwhY;https://music.youtube.com/watch?v=xUNqsfFUwhY;70;
